[@通用]
{

	1/5	元宝[5]
	1/45          苍月圣魂戒
	1/45          苍月圣魂镯
	1/45          苍月圣魂链
	1/45          苍月圣魂盔


	1/207          吟龍圣甲
	1/207          吟龍圣者剑
	1/87          吟龍圣靴
	1/87          吟龍圣带
	1/87          吟龍圣戒
	1/87          吟龍圣镯
	1/87          吟龍圣链
	1/87          吟龍圣盔


	1/207          吟龍圣甲
	1/207          吟龍圣者剑
	1/87          吟龍圣靴
	1/87          吟龍圣带
	1/87          吟龍圣戒
	1/87          吟龍圣镯
	1/87          吟龍圣链
	1/87          吟龍圣盔

	1/264          殘魂必殺甲
	1/264          殘魂必殺刃
	1/123          殘魂神靴
	1/123          殘魂神带
	1/123          殘魂神戒
	1/123          殘魂神镯
	1/123          殘魂神链
	1/123          殘魂神盔

	1/264          殘魂必殺甲
	1/264          殘魂必殺刃
	1/123          殘魂神靴
	1/123          殘魂神带
	1/123          殘魂神戒
	1/123          殘魂神镯
	1/123          殘魂神链
	1/123          殘魂神盔



}
